student_id,school_id,sex,p1,p2,p3,p41,p42,p5,p6,p7,p81,p82,p9,p10a,p10b,p10c,p10d,p10e,p10f,p10g,p10h,p11a,p11b,p11c,p11d,p12a,p12b,p12c,p12d,p12e,p12f,p12g,p12h,p13a,p13b,p13c,p13d,p13e,p13f,p13g,p13h
EST0068,Colegio_3,Female,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,UNIVERSITY EDUCATION,5,-888,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE
EST0080,Colegio_3,Male,15,YES,1,FIRST,DID NOT REPEAT,INCOMPLETE SECONDARY,COMPLETE SECONDARY,1457,FREQUENTLY,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,DISAGREE,AGREE,PARTIALLY AGREE,AGREE
EST0069,Colegio_3,Female,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,345,FREQUENTLY,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE
EST0078,Colegio_3,Male,14,NO,13,SECOND,DID NOT REPEAT,INCOMPLETE SECONDARY,NO FORMAL EDUCATION,1234567,SOMETIMES,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE
EST0064,Colegio_3,Female,13,YES,1,THIRD,DID NOT REPEAT,COMPLETE SECONDARY,TECHNICAL HIGHER EDUCATION,4,FREQUENTLY,-888,MOBILE PHONE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE
EST0072,Colegio_3,Female,13,DON'T KNOW,1,DID NOT REPEAT,DID NOT REPEAT,TECHNICAL HIGHER EDUCATION,TECHNICAL HIGHER EDUCATION,245,FREQUENTLY,SOMETIMES,MOBILE PHONE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
EST0065,Colegio_3,Male,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,UNIVERSITY EDUCATION,DON'T KNOW,456,FREQUENTLY,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
EST0076,Colegio_3,Female,12,DON'T KNOW,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,COMPLETE SECONDARY,124567,FREQUENTLY,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,PARTIALLY AGREE
EST0067,Colegio_3,Female,12,DON'T KNOW,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,COMPLETE SECONDARY,1456,FREQUENTLY,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE
EST0071,Colegio_3,Female,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,INCOMPLETE SECONDARY,1456,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
